id, street, neighbourhood, zipcode, smart_location, is_location_exact, property_type, room_type, accommodates, bedrooms, beds, price
13764782, Tallaght; Dublin; Ireland, , 24, Tallaght; Ireland, f, House, Private room, 2, 1, 1, 50.00
13764890, Dublin; County Dublin; Ireland, East Wall, , Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 60.00
13767409, Dublin; Dublin; Ireland, Portobello, , Dublin; Ireland, t, Apartment, Entire home/apt, 5, 2, 3, 130.00
13767500, Dublin; Dublin; Ireland, Kilmainham, , Dublin; Ireland, t, House, Entire home/apt, 4, 1, 2, 150.00
13767859, Goatstown; Dublin; Ireland, Ardilea, , Goatstown; Ireland, t, House, Entire home/apt, 4, 2, 2, 160.00
13774416, Dublin 4; County Dublin; Ireland, Ballsbridge, D04 CK72, Dublin 4; Ireland, t, House, Entire home/apt, 2, 1, 1, 100.00
13776599, Castleknock; Dublin; Ireland, Castleknock, , Castleknock; Ireland, f, House, Private room, 2, 1, 2, 80.00
13779492, Dublin; Dublin; Ireland, Mount Merrion, , Dublin; Ireland, t, Apartment, Private room, 1, 1, 1, 50.00
13783906, Dublin; Dublin; Ireland, Phibsborough, Dublin 1, Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 85.00
13786700, Dublin; Dublin; Ireland, Mount Merrion, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 39.00
13787166, Dublin; Dublin; Ireland, Bonnybrook/Darndale, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 32.00
13787459, Dublin; Dublin; Ireland, Phibsborough, , Dublin; Ireland, t, Apartment, Entire home/apt, 5, 1, 3, 131.00
13792057, Dublin; Dublin; Ireland, Phoenix Park and Surrounds, Dublin 20, Dublin; Ireland, f, Townhouse, Entire home/apt, 4, 2, 2, 80.00
13794228, Dublin; Dublin; Ireland, Old City, Dublin 8, Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 81.00
13796842, Artane; Dublin; Ireland, Artane, , Artane; Ireland, t, House, Private room, 2, 1, 2, 57.00
13797316, Dublin; Dublin; Ireland, Dundrum, , Dublin; Ireland, f, House, Private room, 2, 2, 2, 105.00
13797447, Dublin.7.; Ireland, City Centre, , Dublin.7.; Ireland, t, House, Entire home/apt, 4, 2, 3, 163.00
13799063, Drumcondra; Dublin 3; Ireland, Drumcondra, D03RT92, Drumcondra; Ireland, t, Apartment, Entire home/apt, 2, 1, 1, 86.00
13801533, Dublin; Dublin; Ireland, "North City Central/OConnell Street", , Dublin; Ireland, f, Apartment, Entire home/apt, 3, 1, 2, 70.00
13810006, Sandyford; Dublin; Ireland, Dundrum, , Sandyford; Ireland, t, House, Private room, 4, 2, 4, 110.00
13810780, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 100.00
13810912, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, f, Apartment, Entire home/apt, 4, 2, 2, 160.00
13811690, Dublin; Dublin; Ireland, Docklands, , Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 80.00
13812067, Dublin; Dublin; Ireland, Portobello, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 140.00
13812621, Dublin; Dublin; Ireland, Terenure, , Dublin; Ireland, t, House, Private room, 1, 1, 1, 60.00
13813187, Rathmines; Dublin; Ireland, Rathgar, 0, Rathmines; Ireland, t, Apartment, Entire home/apt, 2, 1, 1, 85.00
13813290, Dublin; Dublin; Ireland, "Harolds Cross", , Dublin; Ireland, t, House, Private room, 2, 1, 2, 85.00
13813984, Rathcoole; Dublin; Ireland, , , Rathcoole; Ireland, f, House, Private room, 2, 1, 1, 45.00
13814160, Dublin 1; County Dublin; Ireland, Phibsborough, , Dublin 1; Ireland, f, Apartment, Entire home/apt, 2, 1, 1, 85.00
13818228, Sutton; Dublin; Ireland, , , Sutton; Ireland, t, House, Private room, 2, 1, 1, 50.00
13821095, Dun Laoghaire; Co. Dublin; Ireland, Monkstown, , Dun Laoghaire; Ireland, t, Apartment, Entire home/apt, 2, 2, 2, 160.00
13821222, Dalkey; Dublin; Ireland, , A96 W840, Dalkey; Ireland, f, Cabin, Entire home/apt, 4, 1, 2, 110.00
